製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,南條範夫「士魂魔道」より,Original Work,From Nanjô Norio’s “The Warrior’s Spirit”
脚本,木村武,Screenplay,Kimura Takeshi
,稲垣浩,,Inagaki Hiroshi
,,,
撮影,山田一夫,Photography,Yamada Kazuo
美術,植田寛,Art,Ueda Hiroshi
録音,西川善男,Recording,Nishikawa Yoshio
照明,小西康夫,Lighting,Konishi Yasuo
,,,
特殊技術,,Special Technology,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
撮影,有川貞昌,Photography,Arikawa Sadamasa
光学撮影,幸隆生,Optical Photography,Miyuki Takao
,徳政義行,,Tokumasa Yoshiyuki
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirô
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
製作担当者,小池忠司,Production Manager,Koike Tadashi
,,,
音楽,石井歓,Music,Ishii Kan
監督助手,竹前重吉,Assistant Director,Takemae Jûkichi
,高瀬昌弘,,Takase Masahiro
編集,岩下広一,Editing,Iwashita Hirokazu
製作担当者,沖原俊哉,Production Manager,Okihara Toshiya
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,市川染五郎,,Ichikawa Somegorô
,夏木陽介,,Natsuki Yôsuke
,佐藤允,,Satô Makoto
,,,
,星由里子,,Hoshi Yuriko
,水野久美,,Mizuno Kumi
,草笛光子,,Kusabue Mitsuko
,久我美子,,Kuga Yoshiko
,,,
,久保明,,Kubo Akira
,平田昭彦,,Hirata Akihiko
,堺左千夫,,Sakai Sachio
,小杉義男,,Kosugi Yoshio
,香川良介,,Kagawa Ryôsuke
,稲葉義男,,Inaba Yoshio
,戸上城太郎,,Togami Jôtarô
,,,
,天王寺虎之助,,Ten’nôji Toranosuke
,山本廉,,Yamamoto Ren
,向井淳一郎,,Mukai Jun’ichirô
,内田朝雄,,Uchida Asao
,若月輝夫,,Wakatsuki Teruo
,福山博寿,,Fukuyama Hirokazu
,早川恭二,,Hayakawa Kyôji
,谷晃,,Tani Akira
,,,
,松本幸之助,,Matsumoto Kônosuke
,武周暢,,Take Chikanobu
,楠義孝,,Kusunoki Yoshitaka
,宮津亮,,Miyazu Ryô
,水木達夫,,Mizuki Tatsuo
,岡野昇司,,Okano Shôji
,双葉京子,,Futaba Kyôko
,吉川雅恵,,Yoshikawa Masae
,,,
,富士乃章介,,Fujino Shôsuke
,吉井裕海,,Yoshii Hiromi
,早崎文司,,Hayasaki Bunji
,石井光三,,Ishii Mitsuzô
,山口博義,,Yamaguchi Hiroyoshi
,宇仁貫三,,Uni Kanzô
,田中浩,,Tanaka Hiroshi
殺陣,久世竜,Swordmaster,Kuze Ryû
,,,
,三船敏郎,,Mifune Toshirô
,,,
監督,稲垣浩,Director,Inagaki Hiroshi
