製作,田中文雄,Producer,Tanaka Fumio
,,,
脚本,小川英,Screenplay,Ogawa Ei
,武末勝,,Takesue Masaru
,,,
撮影,西垣六郎,Photography,Nishigaki Rokurô
美術,育野重一,Art,Ikuno Shigekazu
録音,渡会伸,Recording,Watarai Shin
照明,佐藤幸次郎,Lighting,Satô Kôjirô
音楽,真鍋理一郎,Music,Manabe Riichirô
整音,東宝録音センター,Dubbing,Toho Recording Center
,,,
監督助手,河崎義祐,Assistant Director,Kawasaki Yoshisuke
編集,近藤久,Editing,Kondô Hisashi
合成,三瓶一信,Composition,Sanbe Kazunobu
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,橋本利明,Production Manager,Hashimoto Toshiaki
,,,
出演者,,Performers,
,,,
,高橋長英,,Takahashi Chôei
,江美早苗,,Emi Sanae
,藤田みどり,,Fujita Midori
,,,
,岸田森,,Kishida Shin
,高品格,,Takashina Kaku
,大滝秀治,,Ôtaki Hideji
,,,
,松下達夫,,Matsushita Tatsuo
,小川安三,,Ogawa Yasuzô
,大前亘,,Ômae Wataru
,桂木美加,,Katsuragi Mika
,二見忠男,,Futami Tadao
,,,
,立花房子,,Tachibana Fusako
,川口節子,,Kawaguchi Setsuko
,鈴木治夫,,Suzuki Haruo
,記平佳枝,,Kihira Yoshie
,毛利幸子,,Môri Sachiko
,山添三千代,,Yamazoe Michiyo
,,,
監督,山本迪夫,Director,Yamamoto Michio
