製作,田中友幸,Producer,Tanaka Tomoyuki
,田中収,,Tanaka Osamu
,,,
原作,田中光二,Original Work,Tanaka Kôji
,祥伝社ノン・ノベル『爆発の臨界』より,,From the Shoensha Non-Novel “The Criticality of Explosion”
,,,
脚本,大野靖子,Screenplay,Ôno Yasuko
,舛田利雄,,Masuda Toshio
,,,
撮影,西垣六郎,Photography,Nishigaki Rokurô
美術,村木与四郎,Art,Muraki Yoshirô
録音,渡会伸,Recording,Watarai Shin
照明,高島利雄,Lighting,Takashima Toshio
効果,東宝効果集団,Effects,Toho Effects Group
整音,東宝録音センター,Dubbing,Toho Recording Center
,,,
音楽,鏑木創,Music,Kaburagi Hajime
主題歌,「あなたは旅人」,Theme Song,“You Are A Traveler”
作詞,山川啓介,Lyrics,Yamakawa Keisuke
作曲,鏑木創,Composition,Kaburagi Hajime
唄,橋本葉子,Vocals,Hashimoto Yôko
サントラ盤,クラウンレコード,Soundtrack Label,Crown Records
,,,
監督助手,今村一平,Assistant Director,Imamura Ippei
編集,小川信夫,Editing,Ogawa Nobuo
スチール,中尾孝,Still Photography,Nakao Takashi
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,村上久之,Production Manager,Murakami Hisayuki
,徳増俊郎,,Tokumasu Toshirô
,,,
特殊技術,,Special Technology,
撮影,富岡素敬,Photography,Tomioka Mototaka
美術,井上泰幸,Art,Inoue Yasuyuki
照明,森本正邦,Lighting,Morimoto Masakuni
スチール,田中一清,Still Photography,Tanaka Kazukiyo
監督助手,川北紘一,Assistant Director,Kawakita Kôichi
製作担当者,篠田啓助,Production Manager,Shinoda Keisuke
,,,
合成,松田博,Composition,Matsuda Hiroshi
光学撮影,宮西武史,Optical Photography,Miyanishi Takeshi
光学作画,塚田猛昭,Optical Drawing,Tsukada Takeaki
操演,松本光司,Physical Effects,Matsumoto Kôji
特殊効果,渡辺忠昭,Special Effects,Watanabe Tadaaki
,,,
出演者,,Performers,
,,,
,丹波哲郎,,Tamba Tetsurô
,,,
,藤岡弘,,Fujioka Hiroshi
,,,
,宍戸錠,,Shishido Jô
,水谷豊,,Mizutani Yutaka
,金沢碧,,Kanazawa Aoi
,,,
,内田良平,,Uchida Ryôhei
,渡辺文雄,,Watanabe Fumio
,鈴木瑞穂,,Suzuki Mizuho
,佐藤慶,,Satô Kei
,,,
,北村総一朗,,Kitamura Sôichirô
,潮哲也,,Ushio Tetsuya
,富川徹夫,,Tomikawa Tetsuo
,久野四郎,,Kuno Shirô
,金井大,,Kanai Dai
,下川辰平,,Shimokawa Tappei
,,,
,加藤和夫,,Katô Kazuo
,佐竹明夫,,Satake Akio
,入江正徳,,Irie Masanori
,佐々木勝彦,,Sasaki Katsuhiko
,佐原健二,,Sahara Kenji
,梅津栄,,Umezu Sakae
,河村弘二,,Kawamura Kôji
,,,
,青山一也,,Aoyama Kazuya
,伊藤敏孝,,Itô Toshitaka
,小笠原剛,,Ogasawara Tsuyoshi
,小原秀明,,Ohara Hideaki
,剛達人,,Gô Tatsuhito
,笠達也,,Ryû Tatsuya
,神山勝,,Kamiyama Masaru
,久遠利三,,Kudô Toshimitsu
,,,
,和田文夫,,Wada Fumio
,坂脩,,Saka Osamu
,中江真司,,Nakae Shinji
,武藤章生,,Mutô Shôsei
,渡部猛,,Watabe Takeshi
,小沢幹雄,,Ozawa Mikio
,三重街恒二,,Miemachi Kôji
,加地健太郎,,Kaji Kentarô
,,,
,長沢大 ,,Nagasawa Dai
,門脇三郎,,Kadowaki Saburô
,加藤茂雄,,Katô Shigeo
,勝部義夫,,Katsube Yoshio
,三島新太郎,,Mishima Shintarô
,原田君事,,Harada Kimiji
,細井利雄,,Hosoi Toshio
,島津元,,Shimazu Gen
,,,
,ケン・サンダース,,Ken Sanders
,ケイ・アモア,,Kei Amoa
,ウイリー・ドーシー,,Willy Dorsey
,マスド・ラシド・ローン,,Masud Rashid Lon
,イクバル・ハニフ,,Iqbar Hanif
擬斗,日尾孝司,Action,Hio Kôji
,,,
特撮監督,中野昭慶,Special Effects Director,Nakano Teruyoshi
,,,
監督,石田勝心,Director,Ishida Katsumune
