製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,馬淵薫,Screenplay,Mabuchi Kaoru
,坂野義光,,Banno Yoshimitsu
,,,
撮影,真野田陽一,Photography,Manoda Yôichi
美術,井上泰幸,Art,Inoue Yasuyuki
録音,藤好昌生,Recording,Fujiyoshi Masao
照明,原文良,Lighting,Hara Fumiyoshi
音楽,真鍋理一郎,Music,Manabe Riichirô
整音,東宝録音センター,Dubbing,Toho Recording Center
,,,
特殊技術,中野昭慶,Special Technology,Nakano Teruyoshi
操演,小川昭二,Physical Effects,Ogawa Shôji
光学撮影,徳政義行,Optical Photography,Tokumasa Yoshiyuki
合成,土井三郎,Composition,Doi Saburô
,,,
監督助手,津島平吉,Assistant Director,Tsushima Heikichi
編集,黒岩義民,Editing,Kuroiwa Yoshitami
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,森本朴,Production Manager,Morimoto Paku
,,,
出演者,,Performers,
,,,
,山内明,,Yamauchi Akira
,川瀬裕之,,Kawase Hiroyuki
,木村俊恵,,Kimura Toshie
,,,
,麻里圭子（ビクター）,,Mari Keiko (Victor)
,柴本俊夫,,Shibamoto Toshio
,吉田義夫,,Yoshida Yoshio
,中山剣吾,,Nakayama Kengo
,中島春雄,,Nakajima Haruo
,,,
,鈴木治夫,,Suzuki Haruo
,勝部義夫,,Katsube Yoshio
,岡部正,,Okabe Tadashi
,小川安三,,Ogawa Yasuzô
,大前亘,,Ômae Wataru
,,,
,小松英三郎,,Komatsu Eizaburô
,宇留木康二,,Uruki Kôji
,由起卓也,,Yuki Takuya
,権藤幸彦,,Gondô Yukihiko
,中沢治夫,,Nakazawa Haruo
,渡辺謙太郎,,Watanabe Kentarô
,岡部達,,Okabe Tatsu
,,,
監督,坂野義光,Director,Banno Yoshimitsu
