製作,滝村和男,Producer,Takimura Kazuo
,,,
原作,吉川英治,Original Work,Yoshikawa Eiji
,,,
劇化,北條秀司,Dramatization,Hôjô Hideji
脚本,若尾徳平,Screenplay,Wakao Tokuhei
,稲垣浩,,Inagaki Hiroshi
,,,
撮影,山田一夫,Photography,Yamada Kazuo
美術監督,伊藤熹朔,Art Director,Itô Kisaku
美術,植田寛,Art,Ueda Hiroshi
録音,宮崎正信,Recording,Miyazaki Masanobu
照明,西川鶴三,Lighting,Nishikawa Tsuruzô
音楽,團伊玖磨,Music,Dan Ikuma
,,,
監督助手,福田純,Assistant Director,Fukuda Jun
編集,岩下廣一,Editing,Iwashita Kôichi
特殊技術,東宝技術部,Special Technology,Toho Engineering Department
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,菅英久,Production Manager,Suga Hidehisa
,,,
出演者,,Performers,
,,,
,鶴田浩二,,Tsuruta Kôji
,三船敏郎,,Mifune Toshirô
,,,
,八千草薫,,Yachigusa Kaoru
,瑳峨三智子,,Saga Michiko
,岡田茉莉子,,Okada Mariko
,,,
,志村喬,,Shimura Takashi
,千秋実,,Chiaki Minoru
,佐々木孝丸,,Sasaki Takamaru
,加東大介,,Katô Daisuke
,田中春男,,Tanaka Haruo
,,,
,上田吉二郎,,Ueda Kichijirô
,富田仲次郎,,Tomita Nakajirô
,高堂國典,,Kôdô Kuninori
,沢村宗之助,,Sawamura Sônosuke
,山田巳之助,,Yamada Minosuke
,清川荘司 (東映),,Kiyokawa Sôji (Toei)
,,,
,櫻井将紀,,Sakurai Masaki
,岡豊,,Oka Yutaka
,葉山富之輔,,Hayama Tominosuke
,音羽久米子,,Otowa Kumeko
,出雲八恵子,,Izumo Yaeko
,本間文子,,Honma Noriko
,,,
,沢村いき雄,,Sawamura Ikio
,櫻井巨郎,,Sakurai Girô
,西條悦朗,,Saijô Etsurô
,河崎堅男,,Kawasaki Tateo
,松尾文人,,Matsuo Fumindo
,山本廉,,Yamamoto Ren
,大橋史典,,Ôhashi Fuminori
,登山晴子,,Toyama Haruko
,,,
,熊谷二良,,Kumagai Jirô
,渋谷英男,,Shibuya Hideo
,手塚勝巳,,Tezuka Katsumi
,勝本圭一郎,,Katsumoto Keiichirô
,土屋博敏,,Tsuchiya Hirotoshi
,増田正雄,,Masuda Masao
,安芸津融,,Akitsu Tôru
,大村千吉,,Ômura Senkichi
,,,
監督,稲垣浩,Director,Inagaki Hiroshi
