製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,黒沼健,Original Work,Kuronuma Ken
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,清水喜代志,Art,Shimizu Kiyoshi
録音,小沼渡,Recording,Onuma Wataru
,宮崎正信,,Miyazaki Masanobu
照明,金子光男,Lighting,Kaneko Mitsuo
音楽,伊福部昭,Music,Ifukube Akira
,,,
監督助手,梶田興治,Assistant Director,Kajita Kôji
音響効果,三縄一郎,Sound Effects,Minawa Ichirô
編集,平一二,Editing,Taira Kazuji
製作担当者,川上勝太郎,Production Manager,Kawakami Katsutarô
,,,
特殊技術,,Special Technology,
撮影,荒木秀三郎,Photography,Araki Hidesaburô
,有川貞昌,,Arikawa Sadamasa
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirô
合成,向山宏,Composition,Mukôyama Hiroshi
,,,
出演者,,Performers,
,,,
,野村浩三,,Nomura Kôzô
,園田あゆみ,,Sonoda Ayumi
,,,
,千田是也,,Senda Koreya
,,,
,平田昭彦,,Hirata Akihiko
,村上冬樹,,Murakami Fuyuki
,土屋嘉男,,Tsuchiya Yoshio
,山田巳之助,,Yamada Minosuke
,伊藤久哉,,Itô Hisaya
,,,
,田島義文,,Tajima Yoshibumi
,桐野洋雄,,Kirino Nadao
,瀬良明,,Sera Akira
,草間璋夫,,Kusama Akio
,本間文子,,Honma Noriko
,山田彰,,Yamada Akira
,松尾文人,,Matsuo Fumindo
,生方壮児,,Ubukata Sôji
,伊原徳,,Ihara Toku
,川又吉一,,Kawamata Yoshikazu
,重信安宏,,Shigenobu Yasuhiro
,伊東隆,,Itô Takashi
,津田光男,,Tsuda Mitsuo
,熊谷二良,,Kumagai Jirô
,広瀬正一,,Hirose Shôichi
,山田圭介,,Yamada Keisuke
,渋谷英男,,Shibuya Hideo
,鈴木孝次,,Suzuki Kôji
,篠原正記,,Shinohara Masaki
,河美智子,,Kawa Michiko
,中野俊子,,Nakano Toshiko
,安芸津広,,Akitsu Hiroshi
,松本光男,,Matsumoto Mitsuo
,大西康雄,,Ônishi Yasuo
,緒方燐作,,Ogata Rinsaku
,向井淳一郎,,Mukai Jun’ichirô
,一万慈鶴恵,,Ichimanji Tsurue
,平三富子,,Heizô Tomiko
,中西英介,,Nakanishi Eisuke
,成田孝,,Narita Takashi
,勝本圭一郎,,Katsumoto Keiichirô
,坂本晴哉,,Sakamoto Haruya
,細川隆一,,Hosokawa Ryûichi
,速水洸,,Hayami Kô
,大川時生,,Ôkawa Tokio
,寺沢ひろ子,,Terasawa Hiroko
,高原とり子,,Takahara Toriko
,,,
,手塚勝巳,,Tezuka Katsumi
,中島春雄,,Nakajima Haruo
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
